type;start_date;zipcode;visitation_sum;year
indoor;2019-05-01;77063;346173;2019
indoor;2019-05-01;77064;279029;2019
indoor;2019-05-01;77065;796117;2019
indoor;2019-05-01;77066;214322;2019
indoor;2019-05-01;77067;24014;2019
indoor;2019-05-01;77068;401130;2019
indoor;2019-05-01;77069;53183;2019
indoor;2019-05-01;77070;1677423;2019
indoor;2019-05-01;77071;13566;2019
indoor;2019-05-01;77072;65195;2019
indoor;2019-05-01;77073;48681;2019
indoor;2019-05-01;77074;646901;2019
indoor;2019-05-01;77075;27854;2019
indoor;2019-05-01;77076;5372;2019
indoor;2019-05-01;77077;963474;2019
indoor;2019-05-01;77078;5304;2019
indoor;2019-05-01;77079;488210;2019
indoor;2019-05-01;77080;179709;2019
indoor;2019-05-01;77081;131683;2019
indoor;2019-05-01;77082;386888;2019
indoor;2019-05-01;77083;119936;2019
indoor;2019-05-01;77084;1817528;2019
indoor;2019-05-01;77085;720;2019
indoor;2019-05-01;77086;1322;2019
indoor;2019-05-01;77087;58435;2019
indoor;2019-05-01;77088;16654;2019
indoor;2019-05-01;77089;198655;2019
indoor;2019-05-01;77090;759650;2019
indoor;2019-05-01;77091;1571;2019
indoor;2019-05-01;77092;250903;2019
indoor;2019-05-01;77093;5473;2019
indoor;2019-05-01;77094;30637;2019
indoor;2019-05-01;77095;553383;2019
indoor;2019-05-01;77096;291126;2019
indoor;2019-05-01;77098;318340;2019
indoor;2019-05-01;77099;1697241;2019
indoor;2019-06-01;77002;84093355;2019
indoor;2019-06-01;77003;328216;2019
indoor;2019-06-01;77004;1491006;2019
indoor;2019-06-01;77005;5606798;2019
indoor;2019-06-01;77006;756571;2019
indoor;2019-06-01;77007;822899;2019
indoor;2019-06-01;77008;565285;2019
indoor;2019-06-01;77009;98961;2019
indoor;2019-06-01;77010;0;2019
indoor;2019-06-01;77011;0;2019
indoor;2019-06-01;77012;37470;2019
indoor;2019-06-01;77013;260;2019
indoor;2019-06-01;77014;114290;2019
indoor;2019-06-01;77015;77832;2019
indoor;2019-06-01;77016;1630;2019
indoor;2019-06-01;77017;23052;2019
indoor;2019-06-01;77018;326769;2019
indoor;2019-06-01;77019;1630949;2019
indoor;2019-06-01;77020;34442;2019
indoor;2019-06-01;77021;16667;2019
indoor;2019-06-01;77022;46791;2019
indoor;2019-06-01;77023;24204;2019
indoor;2019-06-01;77024;2619133;2019
indoor;2019-06-01;77025;43726;2019
indoor;2019-06-01;77026;6096;2019
indoor;2019-06-01;77027;1443447;2019
indoor;2019-06-01;77028;3644;2019
indoor;2019-06-01;77029;130619;2019
indoor;2019-06-01;77030;7203545;2019
indoor;2019-06-01;77031;37380;2019
indoor;2019-06-01;77032;48071;2019
indoor;2019-06-01;77033;0;2019
indoor;2019-06-01;77034;330364;2019
indoor;2019-06-01;77035;6187;2019
indoor;2019-06-01;77036;383021;2019
indoor;2019-06-01;77037;34720;2019
indoor;2019-06-01;77038;0;2019
indoor;2019-06-01;77039;14498;2019
indoor;2019-06-01;77040;478224;2019
indoor;2019-06-01;77041;138406;2019
indoor;2019-06-01;77042;580257;2019
indoor;2019-06-01;77043;5271058;2019
indoor;2019-06-01;77044;18101;2019
indoor;2019-06-01;77045;2459;2019
indoor;2019-06-01;77046;95844;2019
indoor;2019-06-01;77047;153508;2019
indoor;2019-06-01;77048;626;2019
indoor;2019-06-01;77049;0;2019
indoor;2019-06-01;77050;0;2019
indoor;2019-06-01;77051;0;2019
indoor;2019-06-01;77053;1120;2019
indoor;2019-06-01;77054;31549314;2019
indoor;2019-06-01;77055;346132;2019
indoor;2019-06-01;77056;2423882;2019
indoor;2019-06-01;77057;1029215;2019
indoor;2019-06-01;77058;6682120;2019
indoor;2019-06-01;77059;54300;2019
indoor;2019-06-01;77060;38535;2019
indoor;2019-06-01;77061;16851;2019
indoor;2019-06-01;77062;40300;2019
indoor;2019-06-01;77063;345029;2019
indoor;2019-06-01;77064;231311;2019
indoor;2019-06-01;77065;1153582;2019
indoor;2019-06-01;77066;209023;2019
indoor;2019-06-01;77067;15872;2019
indoor;2019-06-01;77068;135391;2019
indoor;2019-06-01;77069;47330;2019
indoor;2019-06-01;77070;1800535;2019
indoor;2019-06-01;77071;19093;2019
indoor;2019-06-01;77072;52348;2019
indoor;2019-06-01;77073;33366;2019
indoor;2019-06-01;77074;603336;2019
indoor;2019-06-01;77075;29375;2019
indoor;2019-06-01;77076;3548;2019
indoor;2019-06-01;77077;521243;2019
